step,valid_loss,train_loss,elapsed_time
0,7.89040e+03,4.95767e-02,0.167
10,7.75004e+03,1.51076e-01,2.990
20,7.60306e+03,2.52573e-01,5.746
30,7.45941e+03,3.54021e-01,8.441
40,7.32302e+03,4.55461e-01,11.145
50,7.19461e+03,5.56908e-01,13.920
60,7.06695e+03,6.58305e-01,16.624
70,6.93588e+03,7.59641e-01,19.380
80,6.81340e+03,8.60947e-01,22.082
90,6.68108e+03,9.62081e-01,24.841
100,6.50148e+03,1.06284e+00,27.548
110,6.31766e+03,1.16278e+00,30.234
120,6.15597e+03,1.26106e+00,33.009
130,5.93537e+03,1.35680e+00,35.693
140,5.68609e+03,1.44894e+00,38.463
150,5.43825e+03,1.53697e+00,41.156
160,5.15510e+03,1.62024e+00,43.933
170,4.77834e+03,1.69865e+00,46.628
180,4.44128e+03,1.77182e+00,49.399
190,4.20470e+03,1.84054e+00,52.097
200,3.74858e+03,1.90468e+00,54.787
210,3.42799e+03,1.96448e+00,57.561
220,3.02755e+03,2.02069e+00,60.246
230,2.73315e+03,2.07358e+00,63.017
240,2.45040e+03,2.12280e+00,65.705
250,1.95586e+03,2.16869e+00,68.478
260,1.78258e+03,2.21174e+00,71.165
270,1.45755e+03,2.25232e+00,73.859
280,1.14768e+03,2.29046e+00,76.634
290,1.02182e+03,2.32634e+00,79.332
300,8.31854e+02,2.35999e+00,82.107
310,6.60062e+02,2.39216e+00,84.789
320,6.76898e+02,2.42306e+00,87.558
330,6.26119e+02,2.45273e+00,90.251
340,5.83924e+02,2.48091e+00,92.953
350,5.56832e+02,2.50797e+00,95.724
360,4.31561e+02,2.53355e+00,98.421
370,4.10679e+02,2.55826e+00,101.190
380,3.84416e+02,2.58234e+00,103.887
390,3.61503e+02,2.60603e+00,106.657
400,2.72826e+02,2.62899e+00,109.340
410,2.63466e+02,2.65202e+00,112.114
420,2.27497e+02,2.67474e+00,114.803
430,2.71835e+02,2.69712e+00,117.503
440,2.50909e+02,2.71869e+00,120.261
450,2.23689e+02,2.74038e+00,122.955
460,2.05054e+02,2.76149e+00,125.723
470,2.14078e+02,2.78248e+00,128.414
480,1.85883e+02,2.80341e+00,131.211
490,1.76928e+02,2.82442e+00,133.950
500,1.41722e+02,2.84544e+00,136.677
510,1.34163e+02,2.86586e+00,139.485
520,1.31752e+02,2.88644e+00,142.209
530,1.87216e+02,2.90699e+00,145.009
540,2.82729e+02,2.92778e+00,147.765
550,3.58865e+02,2.94911e+00,150.575
560,2.21962e+03,2.97116e+00,153.312
570,5.91057e+03,2.99255e+00,156.038
580,1.21276e+04,3.01458e+00,158.843
590,1.56601e+04,3.03737e+00,161.563
600,1.66770e+04,3.06031e+00,164.380
610,2.97143e+04,3.08343e+00,167.145
620,5.25927e+04,3.10689e+00,169.940
630,9.21924e+04,3.12989e+00,172.663
640,1.45235e+05,3.15378e+00,175.465
650,1.82276e+05,3.17754e+00,178.210
660,1.93250e+05,3.20244e+00,180.977
670,2.15395e+05,3.22774e+00,183.777
680,2.30491e+05,3.25411e+00,186.473
690,2.47257e+05,3.28062e+00,189.232
700,3.57384e+05,3.30858e+00,191.966
710,5.14834e+05,3.33745e+00,194.759
720,8.10857e+05,3.36583e+00,197.473
730,9.06616e+05,3.39499e+00,200.155
740,7.22713e+05,3.42594e+00,202.927
750,8.08307e+05,3.45617e+00,205.618
760,8.10342e+05,3.48748e+00,208.392
770,1.17506e+06,3.52075e+00,211.091
780,2.12056e+06,3.55643e+00,213.865
790,2.69630e+06,3.59312e+00,216.559
